"Aurora","United States","AUZ","KARR"
"Aurukun Mission","Australia","AUU","YAUR"
"Austin","United States","AUS","KAUS"
"Austral Downs","Australia","AWP","-"
"Auvergne","Australia","AVG","YAUV"
"Avalon","Australia","AVV","YMAV"
"Aviano","Italy","AVB","LIPA"
"Avignon","France","AVN","LFMV"
"Avignon TGV","France","XZN","-"
"Avon Park","United States","AVO","KAVO"
"Avu Avu","Solomon Islands","AVU","AGGJ"
"Awaba","Papua New Guinea","AWB","-"
"Awar","Papua New Guinea","AWR","-"
"Awareh","Ethiopia","AWH","-"
"Awassa","Ethiopia","AWA","HALA"
"Axum","Ethiopia","AXU","HAAX"
"Ayacucho","Colombia","AYC","-"
"Ayacucho","Peru","AYP","SPHO"
"Ayapel","Colombia","AYA","-"
"Ayawasi","Indonesia","AYW","WASA"
"Ayers Rock","Australia","AYQ","YAYE"
"Ayr","Australia","AYR","YAYR"
"B. Seri Begawan","Brunei","BWN","WBSB"
"Ba","Fidji","BFJ","NFFA"
"Babo","Indonesia","BXB","WASO"
"Babol Sar","Iran","BBL","OINB"
"Baca Grande","United States","BCJ","-"
"Bacau","Romania","BCM","LRBC"
"Bacolod","Philippines","BCD","RPVB"
"Badajoz","Spain","BJZ","LEBZ"
"Bade","Indonesia","BXD","WAKE"
"Baden-Baden","Germany","FKB","EDSB"
"Badin","Pakistan","BDN","OPTH"
"Badu Island","Australia","BDD","YBAU"
"Bafoussam","Cameroon","BFX","FKKU"
"Baganga","Philippines","BNQ","-"
"Bagdad","Iraq","BGW","ORBI"
"Bagdad Usa","United States","BGT","-"
"Bagdogra","India","IXB","VEBD"
"Bage","Brazil","BGX","SBBG"
"Baghdad Saddam","Iraq","SDA","KSDA"
"Baglung","Nepal","BGL","VNBL"
"Bagotville","Canada","YBG","CYBG"
"Bagram","Afghanistan","OAI","-"
"Baguio","Philippines","BAG","RPUB"
"Bahar Dar","Ethiopia","BJR","HABD"
"Bahawalnagar","Pakistan","WGB","-"
"Bahawalpur","Pakistan","BHV","OPBW"
"Bahia Blanca","Argentina","BHI","SAZB"
"Bahia Cupica","Colombia","BHF","SKCP"
"Bahia De Caraquez","Ecuador","BHA","SESV"
"Bahia Pinas","Panama","BFQ","-"
"Bahia Solano","Colombia","BSC","SKBS"
"Bahrain","Bahrain","BAH","OBBI"
"Bahregan","Iran","IAQ","-"
"Baia Mare","Romania","BAY","LRBM"
"Baibara","Papua New Guinea","BAP","-"
"Baidoa","Somalia","BIB","HCMB"
"Baie Comeau","Canada","YBC","CYBC"
"Baie Johan Beetz","Canada","YBJ","-"
"Baimuru","Papua New Guinea","VMU","-"
"Bainbridge","United States","BGE","KBGE"
"Baindoung","Papua New Guinea","BDZ","-"
"Bairnsdale","Australia","BSJ","YBNS"
"Baise","China","AEB","-"
"Baishan","China","NBS","-"
"Baitadi","Nepal","BIT","VNBT"
"Bajawa","Indonesia","BJW","WRKB"
"Bajhang","Nepal","BJH","VNBG"
"Bajone","Mozambique","BJN","-"
"Bajura","Nepal","BJU","VNBR"
"Bakalalan","Malaysia","BKM","WBGQ"
"Bakel","Senegal","BXE","GOTB"
"Baker","United States","BKE","KBKE"
"Baker Lake","Canada","YBK","CYBK"
"Bakersfield","United States","BFL","KBFL"
"Bakhtaran","Iran","KSH","OICC"
"Bakkafjordur","Iceland","BJD","BIBK"
"Bakouma","Central African Republic","BMF","FEGM"
"Balakovo","Russia","BWO","UWSB"
"Balalae","Solomon Islands","BAS","AGGE"
"Balboa","Panama","BLB","MPHO"
"Balcanoona","Australia","LCN","-"
"Bale","Switzerland","BSL","LFSB"
"Bale Mulhouse","France","MLH","LFSB"
"Baler","Philippines","BQA","RPUR"
"Balgo Hills","Australia","BQW","YBGO"
"Balhash","Kazakhstan","BXH","UAAH"
"Bali","Cameroon","BLC","FKKG"
"Bali","Indonesia","DPS","WADD"
"Bali","Papua New Guinea","BAJ","-"
"Balikesir","Turkey","BZI","LTBF"
"Balikpapan","Indonesia","BPN","WALL"
"Balimo","Papua New Guinea","OPU","-"
"Ballina","Australia","BNK","YBNA"
"Balmaceda","Chile","BBA","SCBA"
"Balranald","Australia","BZD","YBRN"
"Balsas","Brazil","BSS","SNBS"
"Baltimore","United States","BWI","KBWI"
"Baltimore Greenbelt","United States","GBO","-"
"Baltimore Martin","United States","MTN","KMTN"
"Baltrum","Germany","BMR","EDWZ"
"Balurghat","India","RGH","-"
"Bam","Iran","BXR","OIKM"
"Bamaga","Australia","ABM","YBAM"
"Bamako","Mali","BKO","GABS"
"Bambari","Central African Republic","BBY","FEFM"
"Bamburi","Kenya","BMQ","-"
"Bamenda","Cameroon","BPC","FKKV"
"Bamerny","Iraq","BMN","ORBB"
"Bamfield","Canada","YBF","-"
"Bamiyan","Afghanistan","BIN","OABN"
"Bamu","Papua New Guinea","BMZ","-"
"Ban Houei Sai","Laos","OUI","-"
"Ban Mak Khaeng","Thailand","BAO","VTED"
"Ban Me Thuot","Vietnam","BMV","VVBM"
"Banaina","Indonesia","NAF","-"
"Banda Aceh","Indonesia","BTJ","WITT"
"Bandanaira","Indonesia","NDA","WAPC"
"Bandar Abbas","Iran","BND","OIKB"
"Bandar Lampung","Indonesia","TKG","WICT"
"Bandar Lengeh","Iran","BDH","OIBL"
"Bandar Mahshahr","Iran","MRX","-"
"Bandirma","Turkey","BDM","LTBG"
"Bandon","United States","BDY","-"
"Bandundu","Democratic Republic of the Congo","FDU","-"
"Bandung","Indonesia","BDO","WICC"
"Baneasa","Romania","BBU","LRBS"
"Banff","Canada","YBA","-"
"Banfora","Burkina Faso","BNR","DFOB"
"Bangalore","India","BLR","VOBG"
"Bangassou","Central African Republic","BGU","FEFG"
"Bangda","China","BPX","-"
"Bangkok","Thailand","BKK","VTBS"
"Bangkok Don Muang","Thailand","DMK","VTBD"
"Bangor","United States","BGR","KBGR"
"Bangui","Central African Republic","BGF","FEFF"
"Baniyala","Australia","BYX","-"
"Banja Luka","Bosnia and Herzegovina","BNX","LQBK"
"Banjarmasin","Indonesia","BDJ","WRBB"
"Banjul","The Gambia","BJL","GBYD"
"Bankstown","Australia","BWU","YSBK"
"Banning","United States","BNG","KBNG"
"Bannu","Pakistan","BNP","OPBN"
"Bantry","Ireland","BYT","EIBN"
"Banz","Papua New Guinea","BNZ","-"
"Baoshan","China","BSD","ZPBS"
"Baotou","China","BAV","ZBOW"
"Bapi","Papua New Guinea","BPD","-"
